name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
"Self, Colin",Male,born 1941,1941,9999,"Norwich, United Kingdom",Missing,http://www.tate.org.uk/art/artists/colin-self-1922
"Sen, Mithu",Missing,born 1971,1971,9999,Missing,Missing,http://www.tate.org.uk/art/artists/mithu-sen-18266
"Serra, Richard",Male,born 1939,1939,9999,"San Francisco, United States",Missing,http://www.tate.org.uk/art/artists/richard-serra-1923
"Serralongue, Bruno",Male,born 1968,1968,9999,France,Missing,http://www.tate.org.uk/art/artists/bruno-serralongue-10157
"Serres, Dominic",Male,1722–1793,1722,1793,"Auch, France","London, United Kingdom",http://www.tate.org.uk/art/artists/dominic-serres-485
"Serres, John Thomas",Male,1759–1825,1759,1825,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/john-thomas-serres-486
"Serusier, Paul",Male,1863–1927,1863,1927,"Paris, France","Morlaix, France",http://www.tate.org.uk/art/artists/paul-serusier-1924
"Setch, Terry",Male,born 1936,1936,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/terry-setch-1925
"Seurat, Georges",Male,1859–1891,1859,1891,"Paris, France","Paris, France",http://www.tate.org.uk/art/artists/georges-seurat-1926
"Severini, Gino",Male,1883–1966,1883,1966,"Cortona, Italia","Paris, France",http://www.tate.org.uk/art/artists/gino-severini-1927
"Severn, Joseph",Male,1793–1879,1793,1879,"London, United Kingdom","Roma, Italia",http://www.tate.org.uk/art/artists/joseph-severn-487
"Seymour, James",Male,?1702–1752,1702,1752,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/james-seymour-488
"Shackleton, William",Male,1872–1933,1872,1933,"Bradford, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/william-shackleton-1928
"Shadbolt, Jack",Male,1909–1998,1909,1998,"Shoeburyness, United Kingdom",Missing,http://www.tate.org.uk/art/artists/jack-shadbolt-1929
"Shahbazi, Shirana",Female,born 1974,1974,9999,Îran,Missing,http://www.tate.org.uk/art/artists/shirana-shahbazi-9857
"Shahn, Ben",Male,1898–1969,1898,1969,Lietuva,"New York, United States",http://www.tate.org.uk/art/artists/ben-shahn-1930
"Shahroudy Farmanfarmaian, Monir",Female,born 1924,1924,9999,"Qazvin, Îran",Missing,http://www.tate.org.uk/art/artists/monir-shahroudy-farmanfarmaian-16467
"Shannon, Charles",Male,1863–1937,1863,1937,"Lincolnshire, United Kingdom","Kew, United Kingdom",http://www.tate.org.uk/art/artists/charles-shannon-1931
"Shannon, Sir James Jebusa",Male,1862–1923,1862,1923,"Auburn, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-james-jebusa-shannon-1932
"Shapinsky, Harold",Male,1925–2004,1925,2004,"Brooklyn, United States","Rockville, United States",http://www.tate.org.uk/art/artists/harold-shapinsky-1933
"Shapiro, Joel",Male,born 1941,1941,9999,"New York, United States",Missing,http://www.tate.org.uk/art/artists/joel-shapiro-1934
"Shapiro, Shmuel",Male,born 1924,1924,9999,"New Britain, United States",Missing,http://www.tate.org.uk/art/artists/shmuel-shapiro-1935
"Sharpe, Charles Kirkpatrick",Male,1781–1851,1781,1851,"Dumfries, United Kingdom","Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/charles-kirkpatrick-sharpe-2455
"Shaw, George",Male,born 1966,1966,9999,"Coventry, United Kingdom",Missing,http://www.tate.org.uk/art/artists/george-shaw-5253
"Shaw, Raqib",Male,born 1974,1974,9999,"Calcutta, Bharat",Missing,http://www.tate.org.uk/art/artists/raqib-shaw-9784
"Shawky, Wael",Male,born 1971,1971,9999,Misr,Missing,http://www.tate.org.uk/art/artists/wael-shawky-13675
"Shayer, William, Senior",Male,1787–1879,1787,1879,"Southampton, United Kingdom","Southampton, United Kingdom",http://www.tate.org.uk/art/artists/william-shayer-senior-489
"Shee, Sir Martin Archer",Male,1769–1850,1769,1850,"Dublin, Éire","Brighton, United Kingdom",http://www.tate.org.uk/art/artists/sir-martin-archer-shee-490
"Sheffield, George",Male,1839–1892,1839,1892,"Wigton, United Kingdom","Manchester, United Kingdom",http://www.tate.org.uk/art/artists/george-sheffield-491
"Shelley, John",Male,born 1938,1938,9999,Missing,Missing,http://www.tate.org.uk/art/artists/john-shelley-1936
"Shelley, Samuel",Male,1750–?1808,1750,1808,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/samuel-shelley-2456
"Shemza, Anwar Jalal",Male,1928–1985,1928,1985,Bharat,"Stafford, United Kingdom",http://www.tate.org.uk/art/artists/anwar-jalal-shemza-14097
"Shepperson, Claude",Male,1867–1921,1867,1921,"Beckenham, United Kingdom",Missing,http://www.tate.org.uk/art/artists/claude-shepperson-1782
"Sheringham, George",Male,1884–1937,1884,1937,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/george-sheringham-1937
"Sherlock, William P.",Male,c.1780–c.1821,1780,1821,Missing,Missing,http://www.tate.org.uk/art/artists/william-p-sherlock-2530
"Sherman, Cindy",Female,born 1954,1954,9999,"Glen Ridge, United States",Missing,http://www.tate.org.uk/art/artists/cindy-sherman-1938
"Sherwin, Guy",Male,born 1948,1948,9999,Missing,Missing,http://www.tate.org.uk/art/artists/guy-sherwin-12923
"Shibuya, Ryukichi",Male,1904–1995,1904,1995,Missing,Missing,http://www.tate.org.uk/art/artists/ryukichi-shibuya-14419
"Shields, Alan",Male,1944–2005,1944,2005,"Herington, United States","Shelter Island, United States",http://www.tate.org.uk/art/artists/alan-shields-6670
"Shimamoto, Shozo",Male,born 1928,1928,9999,"Osaka, Nihon",Missing,http://www.tate.org.uk/art/artists/shozo-shimamoto-4753
"Shonibare, Yinka",Male,born 1962,1962,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/yinka-shonibare-mbe-3081
"Shore, Stephen",Male,born 1947,1947,9999,"New York, United States",Missing,http://www.tate.org.uk/art/artists/stephen-shore-5337
"Short, Sir Frank",Male,1857–1945,1857,1945,"Stourbridge, United Kingdom","Ditchling, United Kingdom",http://www.tate.org.uk/art/artists/sir-frank-short-492
"Shrigley, David",Male,born 1968,1968,9999,"Macclesfield, United Kingdom",Missing,http://www.tate.org.uk/art/artists/david-shrigley-10208
"Siberechts, Jan",Male,1627–c.1700,1627,1700,"Antwerpen, België","London, United Kingdom",http://www.tate.org.uk/art/artists/jan-siberechts-493
