name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
"Brett, John",Male,1831–1902,1831,1902,"Reigate, United Kingdom","Putney, United Kingdom",http://www.tate.org.uk/art/artists/john-brett-53
"Brett, The Hon. Dorothy",Female,1883–1977,1883,1977,"London, United Kingdom","Taos, United States",http://www.tate.org.uk/art/artists/the-hon-dorothy-brett-809
"Bridell, Frederick Lee",Male,1831–1863,1831,1863,"Southampton, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/frederick-lee-bridell-54
"Bridgewater, Alan",Male,1903–1962,1903,1962,Missing,Missing,http://www.tate.org.uk/art/artists/alan-bridgewater-810
"Briggs, Ernest",Male,1866–1913,1866,1913,"Broughty Ferry, United Kingdom","Dunkeld, United Kingdom",http://www.tate.org.uk/art/artists/ernest-briggs-811
"Briggs, Henry Perronet",Male,?1791–1844,1791,1844,"England, United Kingdom",London,http://www.tate.org.uk/art/artists/henry-perronet-briggs-55
"Bright, Henry",Male,1810 or 14–1873,1810,1873,Missing,Missing,http://www.tate.org.uk/art/artists/henry-bright-2415
"Brill, Frederick",Male,1920–1984,1920,1984,Missing,Missing,http://www.tate.org.uk/art/artists/frederick-brill-812
"Brill, Reginald",Male,1902–1974,1902,1974,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/reginald-brill-2671
"Brisley, Stuart",Male,born 1933,1933,9999,"Haslemere, United Kingdom",Missing,http://www.tate.org.uk/art/artists/stuart-brisley-813
British (?) School,Missing,Missing,9999,9999,Missing,Missing,http://www.tate.org.uk/art/artists/british-school-2638
British (?) School 19th century,Missing,1800–1899,1800,1899,Missing,Missing,http://www.tate.org.uk/art/artists/british-school-19th-century-61
British School 16th century,Missing,1500–1599,1500,1599,Missing,Missing,http://www.tate.org.uk/art/artists/british-school-16th-century-56
British School 17th century,Missing,1600–1699,1600,1699,Missing,Missing,http://www.tate.org.uk/art/artists/british-school-17th-century-57
British School 17th or 18th century,Missing,1600–1799,1600,1799,Missing,Missing,http://www.tate.org.uk/art/artists/british-school-17th-or-18th-century-58
British School 18th century,Missing,1700–1799,1700,1799,Missing,Missing,http://www.tate.org.uk/art/artists/british-school-18th-century-59
British School 19th century,Missing,1800–1899,1800,1899,Missing,Missing,http://www.tate.org.uk/art/artists/british-school-19th-century-60
British School 20th century,Missing,1900–1999,1900,1999,Missing,Missing,http://www.tate.org.uk/art/artists/british-school-20th-century-2548
"Brock, Sir Thomas",Male,1847–1922,1847,1922,"Worcester, United Kingdom",Missing,http://www.tate.org.uk/art/artists/sir-thomas-brock-62
"Brockhurst, Gerald",Male,1890–1978,1890,1978,"Birmingham, United Kingdom","Franklin Lakes, United States",http://www.tate.org.uk/art/artists/gerald-leslie-brockhurst-11347
"Brodzky, Horace",Male,1885–1969,1885,1969,"Kew, Australia","London, United Kingdom",http://www.tate.org.uk/art/artists/horace-brodzky-814
"Bronstein, Pablo",Male,born 1977,1977,9999,"Buenos Aires, Argentina",Missing,http://www.tate.org.uk/art/artists/pablo-bronstein-11761
"Broodthaers, Marcel",Male,1924–1976,1924,1976,"Saint-Gilles, België","Köln, Deutschland",http://www.tate.org.uk/art/artists/marcel-broodthaers-815
"Brook, Peter",Male,1927–2009,1927,2009,"Scholes, United Kingdom","Halifax, United Kingdom",http://www.tate.org.uk/art/artists/peter-brook-816
"Brooke, William Henry",Male,1772–1860,1772,1860,"Dublin, Éire","Chichester, United Kingdom",http://www.tate.org.uk/art/artists/william-henry-brooke-63
"Brooker, William",Male,1918–1983,1918,1983,"Croydon, United Kingdom",Missing,http://www.tate.org.uk/art/artists/william-brooker-817
"Brooking, Charles",Male,c.1723–1759,1723,1759,"Deptford, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/charles-brooking-64
"Brooks, James",Male,1906–1992,1906,1992,"Saint Louis, United States","New York, United States",http://www.tate.org.uk/art/artists/james-brooks-818
"Broom, Christina",Missing,1863–1939,1863,1939,Missing,Missing,http://www.tate.org.uk/art/artists/christina-broom-10428
"Broomberg, Adam",Male,born 1970,1970,9999,"Johannesburg, South Africa",Missing,http://www.tate.org.uk/art/artists/adam-broomberg-16107
"Brough, Robert",Male,1872–1905,1872,1905,"Invergordon, United Kingdom",Missing,http://www.tate.org.uk/art/artists/robert-brough-819
"Brough, Romey",Female,born 1944,1944,9999,Missing,Missing,http://www.tate.org.uk/art/artists/romey-brough-820
"Brouwn, Stanley",Male,born 1935,1935,9999,Nederland,Missing,http://www.tate.org.uk/art/artists/stanley-brouwn-8785
"Brown, Cecily",Female,born 1969,1969,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/cecily-brown-2703
"Brown, Don",Male,born 1962,1962,9999,"Norfolk, United Kingdom",Missing,http://www.tate.org.uk/art/artists/don-brown-2587
"Brown, Ford Madox",Male,1821–1893,1821,1893,"Calais, France","London, United Kingdom",http://www.tate.org.uk/art/artists/ford-madox-brown-65
"Brown, Frederick",Male,1851–1941,1851,1941,"Chelmsford, United Kingdom","Surrey, United Kingdom",http://www.tate.org.uk/art/artists/frederick-brown-66
"Brown, Kellock",Male,1856–1934,1856,1934,"Glasgow, United Kingdom","Glasgow, United Kingdom",http://www.tate.org.uk/art/artists/kellock-brown-67
"Brown, Mortimer",Male,1874–1966,1874,1966,"Stoke on Trent, United Kingdom",Missing,http://www.tate.org.uk/art/artists/mortimer-brown-822
"Brown, Ralph",Male,1928 – 2013,1928,2013,"Leeds, United Kingdom",Missing,http://www.tate.org.uk/art/artists/ralph-brown-823
"Brown, Sir Arnesby",Male,1866–1955,1866,1955,"Nottingham, United Kingdom","Norfolk, United Kingdom",http://www.tate.org.uk/art/artists/sir-arnesby-brown-821
"Browne, Hablot Knight",Male,1815–1882,1815,1882,"London, United Kingdom","Hove, United Kingdom",http://www.tate.org.uk/art/artists/hablot-knight-browne-phiz-2562
"Browne, Henriette",Female,1829–1901,1829,1901,"Paris, France",Missing,http://www.tate.org.uk/art/artists/henriette-browne-824
"Bruguera, Tania",Female,born 1968,1968,9999,"La Habana, Cuba",Missing,http://www.tate.org.uk/art/artists/tania-bruguera-11982
"Brundrit, Reginald",Male,1883–1960,1883,1960,Liverpool,"England, United Kingdom",http://www.tate.org.uk/art/artists/reginald-brundrit-825
"Brunias, Agostino",Male,c.1730–1796,1730,1796,Missing,Missing,http://www.tate.org.uk/art/artists/agostino-brunias-3824
"Brüning, Peter",Male,1929–1970,1929,1970,"Düsseldorf, Deutschland","Ratingen, Deutschland",http://www.tate.org.uk/art/artists/peter-bruning-2264
"Brunsdon, John",Male,born 1933,1933,9999,"Cheltenham, United Kingdom",Missing,http://www.tate.org.uk/art/artists/john-brunsdon-826
"Brus, Günter",Male,born 1938,1938,9999,"Steiermark, Österreich",Missing,http://www.tate.org.uk/art/artists/gunter-brus-827
"Bruscky, Paulo",Male,born 1949,1949,9999,"Recife, Brasil",Missing,http://www.tate.org.uk/art/artists/paulo-bruscky-14432
"Bruton, Jo",Female,born 1967,1967,9999,"Littlehampton, United Kingdom",Missing,http://www.tate.org.uk/art/artists/jo-bruton-11951
"Bryce, Fernando",Male,born 1965,1965,9999,"Lima, Perú",Missing,http://www.tate.org.uk/art/artists/fernando-bryce-9098
"Buchanan, Roderick",Male,born 1965,1965,9999,"Glasgow, United Kingdom",Missing,http://www.tate.org.uk/art/artists/roderick-buchanan-2738
"Buchheister, Carl",Male,1890–1964,1890,1964,"Hannover, Deutschland","Hannover, Deutschland",http://www.tate.org.uk/art/artists/carl-buchheister-2276
"Buchler, Pavel",Male,born 1952,1952,9999,Ceská Republika,Missing,http://www.tate.org.uk/art/artists/pavel-buchler-14637
"Buck, Adam",Male,1759–1833,1759,1833,"Cork, Éire","London, United Kingdom",http://www.tate.org.uk/art/artists/adam-buck-2483
"Buckingham, Matthew",Male,born 1963,1963,9999,"Nevada, United States",Missing,http://www.tate.org.uk/art/artists/matthew-buckingham-11696
"Buckley, Stephen",Male,born 1944,1944,9999,"Leicester, United Kingdom",Missing,http://www.tate.org.uk/art/artists/stephen-buckley-828
"Buffet, Bernard",Male,1928–1999,1928,1999,"Paris, France","Var, France",http://www.tate.org.uk/art/artists/bernard-buffet-829
"Buhler, Robert",Male,1916–1989,1916,1989,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-buhler-830
"Bulloch, Angela",Female,born 1966,1966,9999,"Ontario, Canada",Missing,http://www.tate.org.uk/art/artists/angela-bulloch-9058
"Bunbury, Charles",Male,Missing,9999,9999,Missing,Missing,http://www.tate.org.uk/art/artists/charles-bunbury-2550
"Bunbury, Henry William",Male,1750–1811,1750,1811,"Suffolk, United Kingdom","Keswick, United Kingdom",http://www.tate.org.uk/art/artists/henry-william-bunbury-2416
"Bundy, Edgar",Male,1862–1922,1862,1922,"Brighton, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/edgar-bundy-831
"Burchfield, Charles",Male,1893–1967,1893,1967,"Ashtabula, United States","Buffalo, United States",http://www.tate.org.uk/art/artists/charles-burchfield-832
"Burden, Chris",Male,born 1946,1946,9999,"Boston, United States",Missing,http://www.tate.org.uk/art/artists/chris-burden-6319
"Buren, Daniel",Male,born 1938,1938,9999,"Boulogne-Billancourt, France",Missing,http://www.tate.org.uk/art/artists/daniel-buren-833
"Burgess, John",Male,Missing,9999,9999,Missing,Missing,http://www.tate.org.uk/art/artists/john-burgess-5625
"Burgin, Victor",Male,born 1941,1941,9999,"Sheffield, United Kingdom",Missing,http://www.tate.org.uk/art/artists/victor-burgin-834
"Burkert, Robert",Male,born 1930,1930,9999,"Wisconsin, United States",Missing,http://www.tate.org.uk/art/artists/robert-burkert-835
"Burn, Rodney J.",Male,1899–1984,1899,1984,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/rodney-j-burn-836
"Burne-Jones, Sir Edward Coley, Bt",Male,1833–1898,1833,1898,"Birmingham, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-edward-coley-burne-jones-bt-68
"Burnet, James",Male,1788–1816,1788,1816,"Musselburgh, United Kingdom",Missing,http://www.tate.org.uk/art/artists/james-burnet-69
"Burnet, John",Male,1784–1868,1784,1868,"Edinburgh, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/john-burnet-2558
"Burney, Edward Francis",Male,1760–1848,1760,1848,"Hereford and Worcester, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/edward-francis-burney-2334
"Burra, Edward",Male,1905–1976,1905,1976,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/edward-burra-837
"Burri, Alberto",Male,1915–1995,1915,1995,"Città di Castello, Italia","Nice, France",http://www.tate.org.uk/art/artists/alberto-burri-838
"Burt (née Dallas), Angela",Female,born 1946,1946,9999,Missing,Missing,http://www.tate.org.uk/art/artists/angela-dallas-972
"Burt, Laurence",Male,born 1925,1925,9999,United Kingdom,Missing,http://www.tate.org.uk/art/artists/laurence-burt-839
"Burton, Scott",Male,1939–1989,1939,1989,"Greensboro, United States","New York, United States",http://www.tate.org.uk/art/artists/scott-burton-840
"Burton, William Shakespeare",Male,1824–1916,1824,1916,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/william-shakespeare-burton-70
"Burtynsky, Edward",Male,born 1955,1955,9999,"Saint Catharines, Canada",Missing,http://www.tate.org.uk/art/artists/edward-burtynsky-15853
"Bury, Pol",Male,1922–2005,1922,2005,België,"Paris, France",http://www.tate.org.uk/art/artists/pol-bury-841
"Bush, Jack",Male,1909–1977,1909,1977,"Toronto, Canada","Toronto, Canada",http://www.tate.org.uk/art/artists/jack-bush-842
"Bussy, Simon",Male,1870–1954,1870,1954,"Dôle, France",Missing,http://www.tate.org.uk/art/artists/simon-bussy-843
"Bustamante, Jean-Marc",Male,born 1952,1952,9999,"Toulouse, France",Missing,http://www.tate.org.uk/art/artists/jean-marc-bustamante-6992
"Butler, Elizabeth",Female,1846–1933,1846,1933,"Lausanne, Schweiz",Éire,http://www.tate.org.uk/art/artists/elizabeth-butler-lady-butler-71
"Butler, Mildred Anne",Female,1858–1941,1858,1941,"Thomastown, Éire","Thomastown, Éire",http://www.tate.org.uk/art/artists/mildred-anne-butler-72
"Butler, Reg",Male,1913–1981,1913,1981,"Buntingford, United Kingdom","Berkhamsted, United Kingdom",http://www.tate.org.uk/art/artists/reg-butler-844
"Butler, Samuel",Male,1835–1902,1835,1902,"Nottinghamshire, United Kingdom",Missing,http://www.tate.org.uk/art/artists/samuel-butler-73
"Butts, John",Male,c.1728–1764,1728,1764,"Cork, Éire","Dublin, Éire",http://www.tate.org.uk/art/artists/john-butts-2263
"Buvelot, Louis",Male,1814–1888,1814,1888,"Morges, Schweiz","Melbourne, Australia",http://www.tate.org.uk/art/artists/louis-buvelot-74
"Byrne, Gerard",Male,born 1969,1969,9999,"Dublin, Éire",Missing,http://www.tate.org.uk/art/artists/gerard-byrne-11455
"Cabrita Reis, Pedro",Male,born 1956,1956,9999,"Lisboa, Portugal",Missing,http://www.tate.org.uk/art/artists/pedro-cabrita-reis-14505
"Cadere, André",Male,1934–1978,1934,1978,Polska,France,http://www.tate.org.uk/art/artists/andre-cadere-9243
"Cage, John",Male,1912–1992,1912,1992,"Los Angeles, United States","New York, United States",http://www.tate.org.uk/art/artists/john-cage-845
"Cahn, Miriam",Female,born 1949,1949,9999,"Basel, Schweiz",Missing,http://www.tate.org.uk/art/artists/miriam-cahn-846
"Cahun, Claude",Male,1894–1954,1894,1954,"Nantes, France",Missing,http://www.tate.org.uk/art/artists/claude-cahun-10611
"Cain, Neville",Male,1855–1935,1855,1935,"Louisville, United States","Louisville, United States",http://www.tate.org.uk/art/artists/neville-cain-75
"Caiserman-Roth, Ghitta",Female,1923–2005,1923,2005,"Québec, Canada",Montréal,http://www.tate.org.uk/art/artists/ghitta-caiserman-roth-847
"Caldecott, Randolph",Male,1846–1886,1846,1886,"Chester, United Kingdom","Saint Augustine, United States",http://www.tate.org.uk/art/artists/randolph-caldecott-76
"Calder, Alexander",Male,1898–1976,1898,1976,"Philadelphia, United States","New York, United States",http://www.tate.org.uk/art/artists/alexander-calder-848
"Calderon, Philip Hermogenes",Male,1833–1898,1833,1898,"Poitiers, France","London, United Kingdom",http://www.tate.org.uk/art/artists/philip-hermogenes-calderon-77
"Callahan, Harry",Male,1912–1999,1912,1999,"Detroit, United States","Atlanta, United States",http://www.tate.org.uk/art/artists/harry-callahan-13491
"Callcott, Sir Augustus Wall",Male,1779–1844,1779,1844,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sir-augustus-wall-callcott-78
"Calle, Sophie",Female,born 1953,1953,9999,"Paris, France",Missing,http://www.tate.org.uk/art/artists/sophie-calle-2692
"Callery, Simon",Male,born 1960,1960,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/simon-callery-2396
"Calliyannis, Manolis",Male,1923–2010,1923,2010,"Lésvos, Ellás",Missing,http://www.tate.org.uk/art/artists/manolis-calliyannis-849
"Callow, William",Male,1812–1908,1812,1908,"Greenwich, United Kingdom","Buckinghamshire, United Kingdom",http://www.tate.org.uk/art/artists/william-callow-79
"Calthrop, Claude",Male,1845–1893,1845,1893,Missing,Missing,http://www.tate.org.uk/art/artists/claude-calthrop-80
"Calvert, Charles",Male,1785–1852,1785,1852,"Glossop, United Kingdom","Cumbria, United Kingdom",http://www.tate.org.uk/art/artists/charles-calvert-2417
"Calvert, Edward",Male,1799–1883,1799,1883,"Devon, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/edward-calvert-81
"Calzadilla, Guillermo",Male,born 1971,1971,9999,"La Habana, Cuba",Missing,http://www.tate.org.uk/art/artists/guillermo-calzadilla-6260
"Camargo, Sergio de",Male,1930–1990,1930,1990,"Rio de Janeiro, Brasil","Rio de Janeiro, Brasil",http://www.tate.org.uk/art/artists/sergio-de-camargo-850
"Cameron, Katherine",Female,1874–1965,1874,1965,"Glasgow, United Kingdom",Missing,http://www.tate.org.uk/art/artists/katherine-cameron-852
"Cameron, Sir David",Male,1865–1945,1865,1945,"Glasgow, United Kingdom","Perth, United Kingdom",http://www.tate.org.uk/art/artists/sir-david-cameron-851
"Camnitzer, Luis",Male,born 1937,1937,9999,"Lübeck, Deutschland",Missing,http://www.tate.org.uk/art/artists/luis-camnitzer-6211
"Camp, Jeffery",Male,born 1923,1923,9999,"Oulton Broad, United Kingdom",Missing,http://www.tate.org.uk/art/artists/jeffery-camp-853
"Campbell, Duncan",Male,born 1972,1972,9999,Éire,Missing,http://www.tate.org.uk/art/artists/duncan-campbell-12393
"Campbell, James",Male,1828–1893,1828,1893,"Liverpool, United Kingdom","Liverpool, United Kingdom",http://www.tate.org.uk/art/artists/james-campbell-2385
"Campbell, Steven",Male,1954–2007,1954,2007,"Glasgow, United Kingdom","Stirling, United Kingdom",http://www.tate.org.uk/art/artists/steven-campbell-854
"Campion, George B.",Male,1796–1870,1796,1870,Missing,"München, Deutschland",http://www.tate.org.uk/art/artists/george-b-campion-82
"Campus, Peter",Male,born 1937,1937,9999,"New York, United States",Missing,http://www.tate.org.uk/art/artists/peter-campus-11797
Canaletto,Male,1697–1768,1697,1768,"Venezia, Italia","Venezia, Italia",http://www.tate.org.uk/art/artists/canaletto-giovanni-antonio-canal-2302
"Caniaris, Vlassis",Male,1928–2011,1928,2011,"Athínai, Ellás",Missing,http://www.tate.org.uk/art/artists/vlassis-caniaris-13793
"Canin, Martin",Male,born 1927,1927,9999,United States,Missing,http://www.tate.org.uk/art/artists/martin-canin-855
"Cantor, Ellen",Female,1963 – 2013,1963,2013,"Detroit, United States",Missing,http://www.tate.org.uk/art/artists/ellen-cantor-12113
"Cao, Fei",Female,born 1978,1978,9999,"Guangzhou, Zhonghua",Missing,http://www.tate.org.uk/art/artists/cao-fei-10272
"Capel Doray, Audrey",Female,born 1931,1931,9999,"Montréal, Canada",Missing,http://www.tate.org.uk/art/artists/audrey-capel-doray-856
"Carder, Malcolm",Male,born 1936,1936,9999,Missing,Missing,http://www.tate.org.uk/art/artists/malcolm-carder-857
"Cardew, Michel",Male,1901–1983,1901,1983,"Wimbledon, United Kingdom","Truro, United Kingdom",http://www.tate.org.uk/art/artists/michael-cardew-8803
"Cardiff, Janet",Female,born 1957,1957,9999,"Brussels, Canada",Missing,http://www.tate.org.uk/art/artists/janet-cardiff-4499
"Cardoso, José, Junior",Male,1861–1947,1861,1947,"Coimbra, Portugal","Rio de Janeiro, Brasil",http://www.tate.org.uk/art/artists/jose-cardoso-junior-859
"Cardoso, Maria",Female,born 1963,1963,9999,Colombia,Missing,http://www.tate.org.uk/art/artists/maria-fernanda-cardoso-9119
"Carline, George",Male,1855–1920,1855,1920,"Lincoln, United Kingdom","Assisi, Italia",http://www.tate.org.uk/art/artists/george-carline-83
"Carline, Hilda",Female,1889–1950,1889,1950,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/hilda-carline-860
"Carline, Nancy",Female,1909–2004,1909,2004,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/nancy-carline-861
"Carline, Richard",Male,1896–1980,1896,1980,"Oxford, United Kingdom","Hampstead, United Kingdom",http://www.tate.org.uk/art/artists/richard-carline-862
"Carline, Sydney",Male,1888–1929,1888,1929,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/sydney-carline-863
"Carlisle, George Howard, Ninth Earl of",Male,1843–1911,1843,1911,"London, United Kingdom","Surrey, United Kingdom",http://www.tate.org.uk/art/artists/george-howard-ninth-earl-of-carlisle-84
"Carlo, Michael",Male,born 1945,1945,9999,"Glemsford, United Kingdom",Missing,http://www.tate.org.uk/art/artists/michael-carlo-864
"Carnegie, Gillian",Female,born 1971,1971,9999,"Suffolk, United Kingdom",Missing,http://www.tate.org.uk/art/artists/gillian-carnegie-5248
"Carneiro, André",Male,born 1922,1922,9999,"Atibaia, Brasil",Missing,http://www.tate.org.uk/art/artists/andre-carneiro-11738
"Caro, Antonio",Male,born 1950,1950,9999,"Bogotá, Colombia",Missing,http://www.tate.org.uk/art/artists/antonio-caro-16015
"Caro, Sir Anthony",Male,1924–2013,1924,2013,"Surrey, United Kingdom",Missing,http://www.tate.org.uk/art/artists/sir-anthony-caro-865
"Carr, Thomas",Male,1909–1999,1909,1999,"Belfast, United Kingdom","Norwich, United Kingdom",http://www.tate.org.uk/art/artists/thomas-carr-866
"Carrière, Eugène",Male,1849–1906,1849,1906,"Seine-Maritime, Département de la, France",Missing,http://www.tate.org.uk/art/artists/eugene-carriere-867
"Carrington, Dora",Female,1893–1932,1893,1932,"Hereford, United Kingdom","Berkshire, United Kingdom",http://www.tate.org.uk/art/artists/dora-carrington-868
"Carrington, Leonora",Female,1917–2011,1917,2011,"Lancashire, United Kingdom","Ciudad de México, México",http://www.tate.org.uk/art/artists/leonora-carrington-7615
"Carter, B.A.R.",Male,1909–2006,1909,2006,"Kenilworth, United Kingdom",Missing,http://www.tate.org.uk/art/artists/bar-carter-869
"Carter, Hugh",Male,1837–1903,1837,1903,"Birmingham, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/hugh-carter-85
"Carter, Nathan",Male,born 1970,1970,9999,"New York, United States",Missing,http://www.tate.org.uk/art/artists/nathan-carter-7079
"Carter, Samuel John",Male,1835–1892,1835,1892,"Swaffham, United Kingdom",Missing,http://www.tate.org.uk/art/artists/samuel-john-carter-86
"Carter, William",Male,1863–1939,1863,1939,"Swaffham, United Kingdom","Swaffham, United Kingdom",http://www.tate.org.uk/art/artists/william-carter-870
"Cartier-Bresson, Henri",Male,1908–2004,1908,2004,"Chanteloup, France",Missing,http://www.tate.org.uk/art/artists/henri-cartier-bresson-2729
"Carwitham, Thomas",Male,active 1713–1733,1713,1733,Missing,Missing,http://www.tate.org.uk/art/artists/thomas-carwitham-2484
"Casas, Juan Vila",Male,1920 – 2007,1920,2007,"Sabadell, España","Barcelona, España",http://www.tate.org.uk/art/artists/juan-vila-casas-2105
"Casebere, James",Male,born 1953,1953,9999,"Lansing, United States",Missing,http://www.tate.org.uk/art/artists/james-casebere-4624
"Cast, Jesse Dale",Male,1900–1976,1900,1976,Missing,Missing,http://www.tate.org.uk/art/artists/jesse-dale-cast-871
"Cattermole, George",Male,1800–1868,1800,1868,"Norfolk, United Kingdom","Clapham, United Kingdom",http://www.tate.org.uk/art/artists/george-cattermole-87
"Caulfield, Patrick",Male,1936–2005,1936,2005,"London, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/patrick-caulfield-873
"Cazin, Jean-Charles",Male,1841–1901,1841,1901,"Samer, France","Lavandou, le, France",http://www.tate.org.uk/art/artists/jean-charles-cazin-874
"Cazin, Marie",Female,1844–1924,1844,1924,"Paimbœeuf, France","Boulogne-sur-Mer, France",http://www.tate.org.uk/art/artists/marie-cazin-875
"Celic, Stojan",Male,1925–1992,1925,1992,Missing,"Beograd, Jugoslavija",http://www.tate.org.uk/art/artists/stojan-celic-876
"Celice, Pierre",Male,born 1932,1932,9999,"Paris, France",Missing,http://www.tate.org.uk/art/artists/pierre-celice-877
"Celmins, Vija",Female,born 1938,1938,9999,"Riga, Latvija",Missing,http://www.tate.org.uk/art/artists/vija-celmins-2731
César,Male,1921–1998,1921,1998,"Marseille, France","Paris, France",http://www.tate.org.uk/art/artists/cesar-cesar-baldaccini-878
"Cézanne, Paul",Male,1839–1906,1839,1906,"Aix-en-Provence, France","Aix-en-Provence, France",http://www.tate.org.uk/art/artists/paul-cezanne-879
"Chadwick, Helen",Female,1953–1996,1953,1996,"Croydon, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/helen-chadwick-2253
"Chadwick, Lynn",Male,1914–2003,1914,2003,"Barnes, United Kingdom",Missing,http://www.tate.org.uk/art/artists/lynn-chadwick-880
"Chagall, Marc",Male,1887–1985,1887,1985,"Vitebsk, Belarus","Saint-Paul, France",http://www.tate.org.uk/art/artists/marc-chagall-881
"Chaimowicz, Marc Camille",Male,born 1947,1947,9999,"Paris, France",Missing,http://www.tate.org.uk/art/artists/marc-camille-chaimowicz-882
"Challenger, Michael",Male,born 1939,1939,9999,"Kent, United Kingdom",Missing,http://www.tate.org.uk/art/artists/michael-challenger-883
"Chalon, Henry Bernard",Male,1770–1849,1770,1849,Missing,"London, United Kingdom",http://www.tate.org.uk/art/artists/henry-bernard-chalon-88
"Chamberlain, Christopher",Male,1918–1984,1918,1984,"Worthing, United Kingdom",Missing,http://www.tate.org.uk/art/artists/christopher-chamberlain-884
"Chamberlain, John",Male,1927–2011,1927,2011,"Rochester, United States","New York, United States",http://www.tate.org.uk/art/artists/john-chamberlain-885
"Chambers, George",Male,1803–1840,1803,1840,"Whitby, United Kingdom","Brighton, United Kingdom",http://www.tate.org.uk/art/artists/george-chambers-89
"Chanarin, Oliver",Male,born 1971,1971,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/oliver-chanarin-16108
"Chandler, J.W.",Male,c.1770–1804 or 5,1770,1804,Missing,"Edinburgh, United Kingdom",http://www.tate.org.uk/art/artists/jw-chandler-2340
"Chandra, Avinash",Male,1931–1991,1931,1991,"Simla, Bharat",Missing,http://www.tate.org.uk/art/artists/avinash-chandra-886
"Chaney, Israel",Male,Missing,9999,9999,Missing,Missing,http://www.tate.org.uk/art/artists/israel-chaney-887
"Channer, Alice",Female,born 1977,1977,9999,"Oxford, United Kingdom",Missing,http://www.tate.org.uk/art/artists/alice-channer-11556
"Chantrey, Sir Francis Legatt",Male,1781–1841,1781,1841,Missing,"London, United Kingdom",http://www.tate.org.uk/art/artists/sir-francis-legatt-chantrey-90
"Chaplin, Bob",Male,born 1947,1947,9999,"Hastings, United Kingdom",Missing,http://www.tate.org.uk/art/artists/bob-chaplin-888
"Chapman, Dinos",Male,born 1962,1962,9999,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/dinos-chapman-4335
"Chapman, Jake",Male,born 1966,1966,9999,"Cheltenham, United Kingdom",Missing,http://www.tate.org.uk/art/artists/jake-chapman-2614
"Chappell, William",Male,1907–1994,1907,1994,"Wolverhampton, United Kingdom","Rye, United Kingdom",http://www.tate.org.uk/art/artists/william-chappell-889
"Charbonneau, Monique",Female,born 1928,1928,9999,"Montréal, Canada",Missing,http://www.tate.org.uk/art/artists/monique-charbonneau-890
"Charles, James",Male,1851–1906,1851,1906,"Warrington, United Kingdom","Denbighshire, United Kingdom",http://www.tate.org.uk/art/artists/james-charles-91
"Charlton, Alan",Male,born 1948,1948,9999,"Sheffield, United Kingdom",Missing,http://www.tate.org.uk/art/artists/alan-charlton-891
"Charlton, Evan",Male,1904–1984,1904,1984,"London, United Kingdom","Wales, United Kingdom",http://www.tate.org.uk/art/artists/evan-charlton-2390
"Charlton, George",Male,1899–1979,1899,1979,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/george-charlton-892
"Charnay, Armand",Male,1844–1916,1844,1916,Charlieu,France,http://www.tate.org.uk/art/artists/armand-charnay-893
"Charoux, Siegfried",Male,1896–1967,1896,1967,"Wien, Österreich","London, United Kingdom",http://www.tate.org.uk/art/artists/siegfried-charoux-894
"Chase, William",Male,1878–1944,1878,1944,Missing,Missing,http://www.tate.org.uk/art/artists/william-chase-2346
"Chatelain, Jean Baptiste Claude",Male,c.1710–c.1758,1710,1758,"London, United Kingdom",Missing,http://www.tate.org.uk/art/artists/jean-baptiste-claude-chatelain-2222
"Chaves, Raimond",Male,born 1963,1963,9999,"Santafé de Bogotá, D.C., Colombia",Missing,http://www.tate.org.uk/art/artists/raimond-chaves-11461
"Cheese, Bernard",Male,born 1925,1925,9999,"Sydenham, United Kingdom",Missing,http://www.tate.org.uk/art/artists/bernard-cheese-895
