artistId,artworkId,accession_number,artistRole
79,1922,A00138,artist
79,1923,A00139,artist
79,1924,A00140,artist
79,1925,A00141,artist
79,1926,A00142,artist
79,1927,A00143,artist
79,1928,A00144,artist
79,1929,A00145,artist
79,1930,A00146,artist
79,1931,A00147,artist
79,1932,A00148,artist
79,1933,A00149,artist
79,1934,A00150,artist
79,1935,A00151,artist
79,1936,A00152,artist
79,1937,A00153,artist
79,1938,A00154,artist
79,1939,A00155,artist
79,1940,A00156,artist
81,1944,A00157,artist
81,1945,A00158,artist
81,1946,A00159,artist
81,1947,A00160,artist
81,1948,A00161,artist
81,1949,A00162,artist
81,1950,A00163,artist
81,1951,A00164,artist
81,1952,A00165,artist
81,1953,A00166,artist
81,1954,A00167,artist
117,2838,A00168,artist
117,2858,A00169,artist
117,2839,A00170,artist
117,2840,A00171,artist
117,2841,A00172,artist
117,2842,A00173,artist
117,2843,A00174,artist
117,2844,A00175,artist
117,2845,A00176,artist
117,2846,A00177,artist
117,2847,A00178,artist
117,2848,A00179,artist
117,2849,A00180,artist
117,2850,A00181,artist
117,2851,A00182,artist
117,2852,A00183,artist
117,2853,A00184,artist
117,2854,A00185,artist
117,2855,A00186,artist
117,2856,A00187,artist
117,2857,A00188,artist
117,16588,A00189,artist
199,4887,A00190,artist
243,21070,A00191,artist
243,5888,A00192,artist
260,6441,A00193,artist
260,6442,A00194,artist
260,6443,A00195,artist
260,6444,A00196,artist
278,6722,A00197,artist
278,6723,A00198,artist
278,6724,A00199,artist
278,6725,A00200,artist
278,6726,A00201,artist
278,6727,A00202,artist
278,6728,A00203,artist
278,6729,A00204,artist
278,6730,A00205,artist
278,6731,A00206,artist
278,6732,A00207,artist
278,6733,A00208,artist
278,6734,A00209,artist
278,6735,A00210,artist
283,6948,A00211,artist
283,6949,A00212,artist
283,6950,A00213,artist
286,6973,A00217,artist
286,6974,A00218,artist
300,7249,A00219,artist
300,7250,A00220,artist
300,7251,A00221,artist
300,7252,A00222,artist
300,7253,A00223,artist
300,7254,A00224,artist
300,7255,A00225,artist
300,7256,A00226,artist
300,7257,A00227,artist
300,7258,A00228,artist
300,7259,A00229,artist
300,7260,A00230,artist
300,7261,A00231,artist
300,7262,A00232,artist
300,7263,A00233,artist
300,7264,A00234,artist
300,7265,A00235,artist
300,7266,A00236,artist
300,7267,A00237,artist
300,7268,A00238,artist
300,7269,A00239,artist
300,7270,A00240,artist
300,7271,A00241,artist
300,7272,A00242,artist
300,7273,A00243,artist
300,7274,A00244,artist
300,7275,A00245,artist
300,7276,A00246,artist
300,7277,A00247,artist
300,7278,A00248,artist
300,7279,A00249,artist
300,7280,A00250,artist
300,7281,A00251,artist
300,7282,A00252,artist
300,7283,A00253,artist
300,7284,A00254,artist
300,7285,A00255,artist
300,7286,A00256,artist
300,7287,A00257,artist
300,7288,A00258,artist
300,7289,A00259,artist
300,7290,A00260,artist
300,7291,A00261,artist
300,7292,A00262,artist
300,7293,A00263,artist
300,7294,A00264,artist
300,7295,A00265,artist
300,7296,A00266,artist
300,7297,A00267,artist
300,7298,A00268,artist
300,7299,A00269,artist
300,7300,A00270,artist
300,7301,A00271,artist
300,7302,A00272,artist
300,7303,A00273,artist
300,7304,A00274,artist
300,7305,A00275,artist
300,7306,A00276,artist
300,7307,A00277,artist
300,7308,A00278,artist
300,7309,A00279,artist
300,7310,A00280,artist
300,7311,A00281,artist
300,7312,A00282,artist
300,7313,A00283,artist
300,7314,A00284,artist
300,7315,A00285,artist
300,7316,A00286,artist
300,7317,A00287,artist
300,7318,A00288,artist
300,7319,A00289,artist
300,7320,A00290,artist
300,7321,A00291,artist
300,7322,A00292,artist
300,7323,A00293,artist
300,7324,A00294,artist
300,7325,A00295,artist
300,7326,A00296,artist
300,7327,A00297,artist
300,7328,A00298,artist
300,7329,A00299,artist
300,7330,A00300,artist
300,7331,A00301,artist
300,7332,A00302,artist
300,7333,A00303,artist
300,7334,A00304,artist
300,7335,A00305,artist
300,7336,A00306,artist
300,7337,A00307,artist
300,7338,A00308,artist
300,7339,A00309,artist
300,7340,A00310,artist
300,7341,A00311,artist
300,7342,A00312,artist
300,7343,A00313,artist
300,7344,A00314,artist
300,7345,A00315,artist
300,7346,A00316,artist
300,7347,A00317,artist
300,7348,A00318,artist
300,7349,A00319,artist
300,7350,A00320,artist
300,7351,A00321,artist
300,7352,A00322,artist
300,7353,A00323,artist
300,7354,A00324,artist
300,7355,A00325,artist
300,7356,A00326,artist
300,7357,A00327,artist
300,7358,A00328,artist
300,7359,A00329,artist
300,7360,A00330,artist
300,7361,A00331,artist
300,7362,A00332,artist
300,7363,A00333,artist
300,7364,A00334,artist
300,7365,A00335,artist
300,7366,A00336,artist
300,7367,A00337,artist
300,7368,A00338,artist
300,7369,A00339,artist
300,7370,A00340,artist
300,7371,A00341,artist
300,7372,A00342,artist
300,7373,A00343,artist
300,7374,A00344,artist
300,7375,A00345,artist
300,7376,A00346,artist
300,7377,A00347,artist
300,7378,A00348,artist
300,7379,A00349,artist
300,7380,A00350,artist
300,7381,A00351,artist
300,7382,A00352,artist
300,7383,A00353,artist
300,7384,A00354,artist
300,7385,A00355,artist
300,7386,A00356,artist
300,7387,A00357,artist
300,7388,A00358,artist
300,7389,A00359,artist
300,7390,A00360,artist
300,7391,A00361,artist
300,7392,A00362,artist
300,7393,A00363,artist
300,7394,A00364,artist
300,7395,A00365,artist
300,7396,A00366,artist
300,7397,A00367,artist
300,7398,A00368,artist
300,7399,A00369,artist
300,7400,A00370,artist
300,7401,A00371,artist
300,7402,A00372,artist
300,7403,A00373,artist
300,7404,A00374,artist
300,7405,A00375,artist
300,7406,A00376,artist
300,7407,A00377,artist
300,7408,A00378,artist
300,7409,A00379,artist
300,7410,A00380,artist
300,7411,A00381,artist
300,7412,A00382,artist
300,7413,A00383,artist
300,7414,A00384,artist
300,7415,A00385,artist
300,7416,A00386,artist
300,7417,A00387,artist
300,7418,A00388,artist
300,7419,A00389,artist
300,7420,A00390,artist
300,7421,A00391,artist
300,7422,A00392,artist
300,7423,A00393,artist
300,7424,A00394,artist
300,7425,A00395,artist
300,7426,A00396,artist
300,7427,A00397,artist
300,7428,A00398,artist
300,7429,A00399,artist
300,7430,A00400,artist
300,7431,A00401,artist
300,7432,A00402,artist
300,7433,A00403,artist
300,7434,A00404,artist
300,7435,A00405,artist
300,7436,A00406,artist
300,7437,A00407,artist
300,7438,A00408,artist
300,7439,A00409,artist
300,7440,A00410,artist
300,7441,A00411,artist
300,7442,A00412,artist
300,7443,A00413,artist
300,7444,A00414,artist
300,7445,A00415,artist
300,7446,A00416,artist
300,7447,A00417,artist
300,7448,A00418,artist
300,7449,A00419,artist
300,7450,A00420,artist
300,7451,A00421,artist
300,7452,A00422,artist
300,7453,A00423,artist
300,7454,A00424,artist
300,7455,A00425,artist
300,7456,A00426,artist
300,7457,A00427,artist
300,7458,A00428,artist
300,7459,A00429,artist
300,7460,A00430,artist
300,7461,A00431,artist
300,7462,A00432,artist
300,7463,A00433,artist
300,7464,A00434,artist
300,7465,A00435,artist
300,7466,A00436,artist
300,7467,A00437,artist
300,7468,A00438,artist
300,7469,A00439,artist
300,7470,A00440,artist
300,7471,A00441,artist
300,7472,A00442,artist
300,7473,A00443,artist
300,7474,A00444,artist
300,7475,A00445,artist
300,7476,A00446,artist
300,7477,A00447,artist
300,7478,A00448,artist
300,7479,A00449,artist
300,7480,A00450,artist
300,7481,A00451,artist
300,7482,A00452,artist
300,7483,A00453,artist
300,7484,A00454,artist
300,7485,A00455,artist
300,7486,A00456,artist
300,7487,A00457,artist
300,7488,A00458,artist
300,7489,A00459,artist
300,7490,A00460,artist
300,7491,A00461,artist
300,7492,A00462,artist
300,7493,A00463,artist
300,7494,A00464,artist
300,7495,A00465,artist
300,7496,A00466,artist
300,7497,A00467,artist
300,7498,A00468,artist
300,7499,A00469,artist
300,7500,A00470,artist
300,7501,A00471,artist
300,7502,A00472,artist
300,7503,A00473,artist
300,7504,A00474,artist
300,7505,A00475,artist
300,7506,A00476,artist
300,7507,A00477,artist
300,7508,A00478,artist
300,7509,A00479,artist
300,7510,A00480,artist
300,7511,A00481,artist
300,7512,A00482,artist
300,7513,A00483,artist
300,7514,A00484,artist
300,7515,A00485,artist
300,7516,A00486,artist
300,7517,A00487,artist
300,7518,A00488,artist
300,7519,A00489,artist
300,7520,A00490,artist
300,7521,A00491,artist
300,7522,A00492,artist
300,7523,A00493,artist
300,7524,A00494,artist
300,7525,A00495,artist
300,7526,A00496,artist
300,7527,A00497,artist
300,7528,A00498,artist
300,7529,A00499,artist
300,7530,A00500,artist
300,7531,A00501,artist
300,7532,A00502,artist
300,7533,A00503,artist
300,7534,A00504,artist
300,7535,A00505,artist
300,7536,A00506,artist
300,7537,A00507,artist
300,7538,A00508,artist
300,7539,A00509,artist
300,7540,A00510,artist
300,7541,A00511,artist
300,7542,A00512,artist
300,7543,A00513,artist
300,7544,A00514,artist
300,7545,A00515,artist
300,7546,A00516,artist
300,7547,A00517,artist
300,7548,A00518,artist
300,7549,A00519,artist
300,7550,A00520,artist
300,7551,A00521,artist
300,7552,A00522,artist
300,7553,A00523,artist
300,7554,A00524,artist
300,7555,A00525,artist
300,7556,A00526,artist
300,7557,A00527,artist
300,7558,A00528,artist
300,7559,A00529,artist
300,7560,A00530,artist
300,7561,A00531,artist
300,7562,A00532,artist
300,7563,A00533,artist
300,7564,A00534,artist
300,7565,A00535,artist
300,7566,A00536,artist
300,7567,A00537,artist
300,7568,A00538,artist
300,7569,A00539,artist
300,7570,A00540,artist
300,7571,A00541,artist
300,7572,A00542,artist
300,7573,A00543,artist
300,7574,A00544,artist
300,7575,A00545,artist
300,7576,A00546,artist
300,7577,A00547,artist
300,7578,A00548,artist
300,7579,A00549,artist
300,7580,A00550,artist
300,7581,A00551,artist
300,7582,A00552,artist
300,7583,A00553,artist
300,7584,A00554,artist
300,7585,A00555,artist
300,7586,A00556,artist
300,7587,A00557,artist
300,7588,A00558,artist
300,7589,A00559,artist
300,7590,A00560,artist
300,7591,A00561,artist
300,7592,A00562,artist
300,7593,A00563,artist
300,7594,A00564,artist
300,7595,A00565,artist
300,7596,A00566,artist
300,7597,A00567,artist
300,7598,A00568,artist
300,7599,A00569,artist
300,7600,A00570,artist
300,7601,A00571,artist
300,7602,A00572,artist
300,7603,A00573,artist
300,7604,A00574,artist
300,7605,A00575,artist
300,7606,A00576,artist
300,7607,A00577,artist
300,7608,A00578,artist
300,7609,A00579,artist
300,7610,A00580,artist
300,7611,A00581,artist
300,7612,A00582,artist
300,7613,A00583,artist
300,7614,A00584,artist
300,7615,A00585,artist
300,7616,A00586,artist
300,7617,A00587,artist
300,7618,A00588,artist
300,7619,A00589,artist
300,7620,A00590,artist
300,7621,A00591,artist
300,7622,A00592,artist
300,7623,A00593,artist
300,7624,A00594,artist
300,7625,A00595,artist
300,7626,A00596,artist
300,7627,A00597,artist
300,7628,A00598,artist
300,7629,A00599,artist
300,7630,A00600,artist
300,7631,A00601,artist
300,7632,A00602,artist
300,7633,A00603,artist
300,7634,A00604,artist
300,7635,A00605,artist
300,7636,A00606,artist
300,7637,A00607,artist
300,7638,A00608,artist
300,7639,A00609,artist
300,7640,A00610,artist
300,7641,A00611,artist
300,7642,A00612,artist
300,7643,A00613,artist
300,7644,A00614,artist
300,7645,A00615,artist
300,7646,A00616,artist
300,7647,A00617,artist
300,7648,A00618,artist
300,7649,A00619,artist
300,7650,A00620,artist
300,7651,A00621,artist
300,7652,A00622,artist
300,7653,A00623,artist
300,7654,A00624,artist
300,7655,A00625,artist
300,7656,A00626,artist
300,7657,A00627,artist
300,7658,A00628,artist
300,7659,A00629,artist
300,7660,A00630,artist
300,7661,A00631,artist
300,7662,A00632,artist
300,7663,A00633,artist
300,7664,A00634,artist
300,7665,A00635,artist
300,7666,A00636,artist
300,7667,A00637,artist
300,7668,A00638,artist
300,7669,A00639,artist
300,7670,A00640,artist
300,7671,A00641,artist
300,7672,A00642,artist
300,7673,A00643,artist
300,7674,A00644,artist
300,7675,A00645,artist
300,7676,A00646,artist
300,7677,A00647,artist
300,7678,A00648,artist
300,7679,A00649,artist
300,7680,A00650,artist
300,7681,A00651,artist
300,7682,A00652,artist
300,7683,A00653,artist
300,7684,A00654,artist
300,7685,A00655,artist
300,7686,A00656,artist
300,7687,A00657,artist
300,7688,A00658,artist
300,7689,A00659,artist
300,7690,A00660,artist
300,7691,A00661,artist
